# Simulation     CPU Time      Wallclock      TQ Time       PF Time      Diff Time      ATC Time     List Time     Seed Time   Enthalpy Time  Volume Time    Stress Time   Temp1d Time    Temp Time     Flow Time  Expansion Time
#  time [s]        [s]         Time [s]         [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]          [s]
  3.106000      4.187500      4.217000      0.000000      1.732000      0.000000      0.000000      2.147000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.201990      4.296875      4.326000      0.000000      1.779000      0.000000      0.000000      2.209000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.303698      4.406250      4.436000      0.000000      1.811000      0.000000      0.000000      2.272000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.414800      4.515625      4.545000      0.000000      1.827000      0.000000      0.000000      2.365000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.509555      4.625000      4.654000      0.000000      1.858000      0.000000      0.000000      2.443000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.610188      4.734375      4.764000      0.000000      1.889000      0.000000      0.000000      2.522000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.704879      4.859375      4.889000      0.000000      1.967000      0.000000      0.000000      2.554000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.802341      4.984375      5.014000      0.000000      2.029000      0.000000      0.000000      2.601000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  3.908222      5.093750      5.123000      0.000000      2.091000      0.000000      0.000000      2.632000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.013672      5.187500      5.217000      0.000000      2.122000      0.000000      0.000000      2.695000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.107944      5.312500      5.342000      0.000000      2.185000      0.000000      0.000000      2.757000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.203473      5.421875      5.451000      0.000000      2.231000      0.000000      0.000000      2.820000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.305462      5.515625      5.545000      0.000000      2.262000      0.000000      0.000000      2.883000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.408896      5.609375      5.639000      0.000000      2.325000      0.000000      0.000000      2.914000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.512149      5.718750      5.748000      0.000000      2.371000      0.000000      0.000000      2.961000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.605642      5.828125      5.857000      0.000000      2.417000      0.000000      0.000000      2.977000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.707299      5.937500      5.967000      0.000000      2.449000      0.000000      0.000000      3.024000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.806187      6.078125      6.107000      0.000000      2.495000      0.000000      0.000000      3.102000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  4.905533      6.187500      6.217000      0.000000      2.527000      0.000000      0.000000      3.164000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.000000      6.281250      6.311000      0.000000      2.558000      0.000000      0.000000      3.227000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.100477      6.468750      6.514000      0.000000      2.637000      0.000000      0.000000      3.289000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.213468      6.609375      6.654000      0.000000      2.699000      0.000000      0.000000      3.351000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.299958      6.703125      6.748000      0.000000      2.715000      0.000000      0.000000      3.429000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.409576      6.781250      6.826000      0.000000      2.745000      0.000000      0.000000      3.477000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.511269      6.906250      6.951000      0.000000      2.808000      0.000000      0.000000      3.539000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.603759      6.984375      7.029000      0.000000      2.824000      0.000000      0.000000      3.601000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.704317      7.109375      7.154000      0.000000      2.872000      0.000000      0.000000      3.663000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.807823      7.218750      7.264000      0.000000      2.919000      0.000000      0.000000      3.678000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  5.902013      7.328125      7.373000      0.000000      2.965000      0.000000      0.000000      3.726000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.000475      7.406250      7.451000      0.000000      2.981000      0.000000      0.000000      3.788000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.102220      7.500000      7.545000      0.000000      3.044000      0.000000      0.000000      3.819000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.205016      7.656250      7.701000      0.000000      3.123000      0.000000      0.000000      3.880000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.314022      7.765625      7.811000      0.000000      3.203000      0.000000      0.000000      3.910000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.406508      7.859375      7.904000      0.000000      3.234000      0.000000      0.000000      3.957000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.507704      7.953125      7.998000      0.000000      3.266000      0.000000      0.000000      4.019000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.605641      8.046875      8.092000      0.000000      3.312000      0.000000      0.000000      4.051000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.712472      8.140625      8.186000      0.000000      3.375000      0.000000      0.000000      4.082000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.809431      8.234375      8.279000      0.000000      3.422000      0.000000      0.000000      4.128000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  6.916384      8.343750      8.389000      0.000000      3.484000      0.000000      0.000000      4.160000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.007523      8.437500      8.482000      0.000000      3.514000      0.000000      0.000000      4.223000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.107364      8.546875      8.592000      0.000000      3.560000      0.000000      0.000000      4.287000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.212182      8.640625      8.698000      0.000000      3.591000      0.000000      0.000000      4.347000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.305268      8.734375      8.798000      0.000000      3.633000      0.000000      0.000000      4.390000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.403047      8.828125      8.892000      0.000000      3.680000      0.000000      0.000000      4.422000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.502465      8.921875      8.986000      0.000000      3.712000      0.000000      0.000000      4.484000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.605723      9.046875      9.111000      0.000000      3.791000      0.000000      0.000000      4.514000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.713628      9.140625      9.204000      0.000000      3.823000      0.000000      0.000000      4.560000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.801851      9.218750      9.283000      0.000000      3.854000      0.000000      0.000000      4.592000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  7.908523      9.296875      9.361000      0.000000      3.901000      0.000000      0.000000      4.623000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.011112      9.390625      9.454000      0.000000      3.963000      0.000000      0.000000      4.654000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.102943      9.515625      9.579000      0.000000      4.026000      0.000000      0.000000      4.716000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.201389      9.593750      9.658000      0.000000      4.073000      0.000000      0.000000      4.748000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.310175      9.703125      9.767000      0.000000      4.119000      0.000000      0.000000      4.796000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.407939      9.796875      9.861000      0.000000      4.166000      0.000000      0.000000      4.828000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.506168      9.906250      9.970000      0.000000      4.211000      0.000000      0.000000      4.876000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
