1118.625,0.00000077,#1395
1105.875,0.0000007,#3345
1093.125,0.0000007,#7635
1080.375,0.00000064,#4905
1067.625,0.00000064,#8805
1054.875,0.0000005,#1785
1042.125,0.00000056,#2565
1029.375,0.00000056,#6855
1016.625,0.00000056,#4515
1003.875,0.00000055,#6075
991.125,0.00000055,#2955
978.375,0.00000053,#5685
965.625,0.00000053,#5295
952.875,0.00000052,#2175
940.125,0.00000052,#4125
927.375,0.0000005,#3735
914.625,0.00000048,#6465
901.875,0.00000047,#8415
889.125,0.00000046,#7245
876.375,0.00000045,#8025
